transcript	GENE_NAME	chr	n_exons	tx_start	tx_end	bp	mu_syn	mu_mis	mu_lof	n_syn	n_mis	n_lof	adj_exp_syn	adj_exp_mis	adj_exp_lof	syn_z	mis_z	lof_z	em_p_hi
ENST00000262482.6	RNF167	17	9	4844204	4848311	1053	4.65E-06	1.12E-05	9.42E-07	65	146	4	54.83208331	125.6662038	13.82760083	-0.851263921	-0.887208634	2.617964717	0.129414192
ENST00000293777.5	MED11	17	3	4634784	4636482	354	2.23E-06	4.85E-06	3.75E-07	22	33	7	25.749981	54.67902484	5.421857934	0.458131299	1.433988737	-0.671369708	7.55E-06
ENST00000320785.5	KIF1C	17	21	4903541	4927446	3312	1.67E-05	4.29E-05	3.15E-06	201	377	9	180.9807328	453.7259279	40.64334991	-0.922533625	1.761820286	4.91674217	0.470778561
ENST00000329125.5	GP1BA	17	1	4835899	4837858	1959	9.74E-06	2.01E-05	6.45E-07	117	244	4	110.7946	227.9422575	7.72897409	-0.365476889	-0.520220316	1.328673244	0.013157716
ENST00000293780.4	CHRNE	17	12	4802030	4806358	1482	1.36E-05	2.39E-05	1.53E-06	124	234	9	136.0934616	234.9955946	19.69362739	0.642662236	0.031766656	2.386997048	0.0003479
ENST00000225665.7	SLC25A11	17	8	4841035	4843205	945	5.75E-06	1.30E-05	7.90E-07	70	66	2	65.859072	146.1174539	11.9504718	-0.316329427	3.241848463	2.851286451	0.666467127
ENST00000396829.2	INCA1	17	6	4891699	4897732	711	2.58E-06	6.51E-06	7.59E-07	26	83	12	31.785263	76.2963199	11.11160841	0.636149987	-0.375385886	-0.264001065	8.26E-09
ENST00000323997.6	ENO3	17	11	4855124	4860342	1305	6.92E-06	1.49E-05	1.12E-06	82	191	16	81.40427798	169.8119727	16.46534222	-0.040932475	-0.795283946	0.11359961	6.91E-11
ENST00000206020.3	SPAG7	17	7	4862828	4871099	684	2.89E-06	7.90E-06	6.32E-07	46	67	6	35.622442	92.4316468	10.09515394	-1.077910992	1.293840229	1.276742746	0.001147197
ENST00000573751.2	ZMYND15	17	13	4643843	4649285	2253	1.04E-05	2.59E-05	2.36E-06	119	240	13	109.0884175	264.2821599	28.78327306	-0.588306885	0.730584621	2.914182062	1.44E-05
ENST00000414043.3	CAMTA2	17	23	4872000	4890253	3726	1.71E-05	4.21E-05	3.68E-06	198	397	4	200.3481637	479.510036	50.163325	0.102847046	1.842995321	6.456447165	0.999991614
ENST00000355280.6	MINK1	17	32	4736878	4800582	3999	2.28E-05	5.29E-05	4.58E-06	226	277	4	199.5661413	445.6390189	48.43965075	-1.160024998	3.907355097	6.324989888	0.999984022
ENST00000225655.5	PFN1	17	3	4849194	4851689	423	3.32E-06	6.18E-06	2.15E-07	25	18	0	36.68512734	68.07604272	3.55695963	1.196018771	2.968583516	1.868225018	0.688581662
ENST00000328739.5	VMO1	17	3	4688656	4689647	609	5.89E-06	1.02E-05	3.54E-07	27	82	5	64.08314622	109.8514537	4.964847274	2.871800067	1.299756655	-0.015627725	0.000437154
ENST00000250076.3	ZNF232	17	4	5009118	5015117	1335	4.07E-06	1.12E-05	9.02E-07	61	158	7	47.77136398	127.9144636	11.84458826	-1.186535793	-1.30110938	1.394397584	0.000435398
ENST00000405578.4	RPAIN	17	6	5323530	5331597	696	2.70E-06	6.70E-06	5.26E-07	38	80	8	31.02542753	74.05949192	8.039216557	-0.776261325	-0.337636838	0.013701001	6.36E-06
ENST00000574946.1	WSCD1	17	8	5983978	6023981	1728	1.10E-05	2.53E-05	1.64E-06	122	243	12	118.9174568	268.1805362	20.30930924	-0.175238559	0.75208547	1.826446908	2.91E-06
ENST00000573584.1	NUP88	17	17	5289525	5322970	2226	1.08E-05	2.26E-05	2.05E-06	109	286	14	128.3872126	261.1570401	30.20311885	1.060727184	-0.75191654	2.920535014	4.70E-06
ENST00000572272.1	NLRP1	17	17	5418073	5487277	4422	1.91E-05	4.30E-05	3.18E-06	215	434	25	205.7989302	459.1792241	39.71961839	-0.397619496	0.574734439	2.313575766	2.08E-12
ENST00000262483.8	PITPNM3	17	20	6358657	6459726	2925	1.94E-05	4.02E-05	2.27E-06	209	302	2	203.5077508	414.5241063	30.43315159	-0.238674054	2.70325548	5.105534927	0.999503783
ENST00000381129.3	AIPL1	17	6	6328779	6338424	1155	7.60E-06	1.49E-05	9.44E-07	70	163	8	86.85387319	167.568412	12.77007003	1.121126315	0.172617367	1.322262952	0.000113411
ENST00000361413.3	KIAA0753	17	18	6483066	6538423	2904	1.08E-05	2.71E-05	2.86E-06	132	341	32	126.2034273	303.5663269	37.83358459	-0.319880124	-1.050878281	0.939477619	3.17E-19
ENST00000262477.6	RABEP1	17	18	5185781	5286518	2589	9.21E-06	2.29E-05	2.56E-06	103	210	5	102.6901386	251.1643304	34.13812202	-0.018958621	1.270451913	4.94005094	0.982815073
ENST00000318833.3	ZFP3	17	1	4994799	4996308	1509	4.16E-06	1.20E-05	7.33E-07	59	124	6	47.55852	136.849648	8.71975209	-1.028531185	0.537259695	0.912361467	0.00058403
ENST00000250101.5	TXNDC17	17	4	6544402	6546339	372	1.99E-06	4.19E-06	4.03E-07	14	49	3	23.95507011	48.54304083	6.077674352	1.260941842	-0.032079764	1.236641035	0.035515895
ENST00000381165.3	MIS12	17	1	5392182	5392800	618	2.27E-06	5.49E-06	3.95E-07	40	56	3	26.09384	62.6039708	4.89451512	-1.687670629	0.408244742	0.848267707	0.020597647
ENST00000574788.1	USP6	17	29	5033662	5076273	4221	1.65E-05	4.17E-05	4.19E-06	171	447	38	198.709908	485.082665	59.59425964	1.218637818	0.845738873	2.770931492	1.76E-18
ENST00000574081.1	SCIMP	17	5	5114095	5138050	438	1.83E-06	3.75E-06	5.06E-07	21	37	4	22.58025409	43.94568043	7.625671197	0.206163095	0.512475522	1.300585931	0.012575344
ENST00000424747.1	SLC52A1	17	4	4936251	4937901	1347	6.39E-06	1.29E-05	4.76E-07	90	163	7	74.109999	147.5942476	7.06932424	-1.144286975	-0.620249036	0.025827708	2.74E-05
ENST00000225698.4	C1QBP	17	6	5336334	5342393	849	5.19E-06	1.08E-05	6.03E-07	32	53	3	29.786846	61.3582073	7.83237744	-0.251390027	0.521907414	1.710423873	0.072050239
ENST00000158771.4	DERL2	17	7	5378003	5389481	720	2.99E-06	7.56E-06	8.88E-07	40	49	1	35.76417268	86.31443101	12.72450839	-0.439100462	1.964497798	3.255846271	0.932959932
ENST00000225296.3	DHX33	17	12	5347524	5372179	2124	1.17E-05	2.54E-05	1.73E-06	127	257	8	129.6511084	278.0895917	23.78581151	0.14434026	0.618575087	3.206251564	0.008382278
ENST00000399604.4	ZNF594	17	1	5085127	5087551	2424	6.52E-06	1.96E-05	9.92E-07	96	314	14	74.30536	222.0592734	11.65460011	-1.560241591	-3.017795161	-0.680546627	1.14E-10
ENST00000250056.8	FAM64A	17	4	6348430	6353742	747	3.31E-06	8.80E-06	5.26E-07	46	99	2	36.4427902	95.19416908	7.108402623	-0.981464824	-0.190792243	1.89796765	0.239012864
ENST00000338694.2	TEKT1	17	7	6703345	6733695	1257	5.41E-06	1.30E-05	8.61E-07	71	167	8	64.208633	150.6132766	12.68507915	-0.525424311	-0.653094907	1.303046937	0.000108975
ENST00000391428.2	C17orf100	17	1	6555233	6555728	495	4.38E-06	9.30E-06	2.30E-07	21	42	3	33.10208647	69.95575677	2.00197002	1.304013688	1.634843146	-0.698722099	0.003778342
ENST00000308009.1	SLC16A11	17	4	6944997	6946904	1416	1.23E-05	2.12E-05	6.93E-07	76	137	3	96.58839397	164.8014103	6.686533121	1.298701652	1.059260298	1.412236138	0.045918307
ENST00000548577.1	RNASEK	17	3	6915885	6917605	414	2.88E-06	5.95E-06	3.33E-07	19	46	1	28.12021324	56.13101582	4.150647527	1.066215575	0.661406131	1.531904192	0.339227906
ENST00000433363.2	SLC13A5	17	12	6589525	6616652	1707	9.73E-06	1.93E-05	1.16E-06	109	187	4	109.4013456	211.7352857	17.29654957	0.02378523	0.831451605	3.167006256	0.353400874
ENST00000005340.5	DVL2	17	15	7129183	7137581	2211	1.24E-05	2.74E-05	1.65E-06	148	296	8	144.1080935	313.428801	24.60643508	-0.200986522	0.481520178	3.316207839	0.011361464
ENST00000269299.3	ASGR1	17	8	7076977	7081882	876	6.47E-06	1.14E-05	7.93E-07	46	111	7	74.18866419	127.6373433	11.9299468	2.02887432	0.720295151	1.413880513	0.000452324
ENST00000251535.6	ALOX12	17	14	6899436	6913742	1992	9.99E-06	2.39E-05	1.90E-06	84	204	18	96.76762356	232.0469214	25.23488676	0.804626588	0.900561601	1.426660922	6.34E-10
ENST00000320316.3	PHF23	17	5	7138944	7142598	1212	4.81E-06	1.26E-05	1.07E-06	74	115	0	55.17733185	142.4777595	13.92648007	-1.570906572	1.125964791	3.696667359	0.991271958
ENST00000321535.4	FBXO39	17	3	6683187	6690747	1329	5.49E-06	1.38E-05	7.08E-07	55	160	4	63.470358	157.5445635	9.28012127	0.65912217	-0.095683478	1.7169466	0.025018434
ENST00000399510.2	DLG4	17	22	7094026	7122168	2304	1.35E-05	2.94E-05	2.61E-06	123	114	4	144.9127784	307.7713718	34.0924882	1.12848017	5.402464529	5.10526681	0.996592666
ENST00000380952.2	ASGR2	17	8	7004893	7017559	936	5.02E-06	1.01E-05	7.49E-07	53	122	9	56.03241428	110.4155884	11.09251833	0.251141092	-0.539230966	0.622363173	6.64E-06
ENST00000254868.4	CLEC10A	17	8	6978372	6982131	951	4.52E-06	8.74E-06	8.57E-07	54	95	12	54.594342	102.4183759	13.06616462	0.049866696	0.358540096	0.292172868	4.25E-08
ENST00000225728.3	MED31	17	4	6547786	6554848	396	1.44E-06	3.84E-06	5.34E-07	19	28	6	17.17746042	43.58634502	7.445743926	-0.272613301	1.15474381	0.524840076	0.000283388
ENST00000546495.1	C17orf49	17	6	6918176	6920640	579	3.84E-06	6.95E-06	4.27E-07	35	59	4	38.88778116	71.92521969	6.54169493	0.386495599	0.745441842	0.984391748	0.007622931
ENST00000302386.5	GABARAP	17	4	7144172	7145649	354	1.77E-06	4.30E-06	5.24E-07	11	19	1	21.779231	50.3771156	7.61807217	1.431910721	2.162284586	2.375191614	0.67018621
ENST00000293805.5	BCL6B	17	8	6926990	6930938	1440	9.38E-06	2.02E-05	9.75E-07	82	176	4	107.8914857	229.5451774	14.30575306	1.545300942	1.728633374	2.69906943	0.151089912
ENST00000308027.6	SLC16A13	17	4	6939701	6943281	1281	7.14E-06	1.39E-05	8.25E-07	65	140	10	82.544068	158.6311452	11.02344495	1.197117721	0.723537024	0.305348306	7.51E-07
ENST00000361842.3	XAF1	17	7	6659397	6676488	906	3.20E-06	8.45E-06	6.29E-07	44	97	11	36.93149697	92.29191853	9.45540357	-0.721071444	-0.239705754	-0.49758201	2.07E-08
ENST00000543245.2	ACADVL	17	21	7120464	7128416	2037	1.06E-05	2.38E-05	1.77E-06	120	229	15	108.4225091	237.6898416	25.19165537	-0.689294076	0.275689969	2.011435222	1.31E-07
ENST00000535512.1	TMEM256-PLSCR3	17	7	7293703	7297429	888	5.48E-06	1.19E-05	9.01E-07	38	79	3	52.96043372	116.5027207	11.51887781	1.274435336	1.699459927	2.48637711	0.245307294
ENST00000323675.3	SPEM1	17	3	7323703	7324924	930	4.03E-06	1.11E-05	7.25E-07	47	126	4	44.2888834	121.686897	9.117557337	-0.252552059	-0.191242374	1.678854792	0.023453063
ENST00000336452.7	EIF5A	17	5	7210365	7214959	555	2.65E-06	6.14E-06	4.58E-07	35	21	0	30.72833367	66.97322315	6.914060837	-0.477724678	2.747709287	2.604691521	0.890876904
ENST00000306071.2	CHRNB1	17	11	7348446	7360042	1506	9.42E-06	2.00E-05	1.18E-06	83	170	11	105.2451209	219.8759712	17.23183286	1.344258764	1.645201784	1.487098613	4.34E-06
ENST00000399464.2	NEURL4	17	29	7219441	7232631	4689	2.79E-05	6.25E-05	3.25E-06	299	475	4	314.1909644	691.3576736	47.43499743	0.531298936	4.02473614	6.247122846	0.999976734
ENST00000330767.4	TMEM95	17	7	7258523	7259951	555	2.53E-06	5.64E-06	7.60E-07	24	76	6	28.82221514	60.49756084	10.63080896	0.556842989	-0.974871988	1.406900614	0.00145965
ENST00000293829.4	FGF11	17	5	7342939	7346465	678	4.58E-06	1.05E-05	6.04E-07	33	78	3	41.91518057	94.37107206	7.68725166	0.853677701	0.824278741	1.674643625	0.068195836
ENST00000396628.2	ELP5	17	8	7155821	7163004	951	4.44E-06	9.91E-06	7.13E-07	55	114	9	51.37958368	111.040981	11.0550796	-0.313121665	-0.137347175	0.612262138	6.48E-06
ENST00000333751.3	KCTD11	17	1	7256261	7256960	699	4.04E-06	9.64E-06	4.27E-07	36	67	1	46.14069	109.5898238	5.25922886	0.925496708	1.98992622	1.839753538	0.447451322
ENST00000576812.1	TNK1	17	12	7286245	7292403	2001	1.17E-05	2.60E-05	1.47E-06	81	207	9	93.76427664	210.412686	16.1060414	0.81719766	0.11507437	1.753973432	8.55E-05
ENST00000380728.2	GPS2	17	10	7216074	7218371	984	3.70E-06	9.77E-06	1.02E-06	82	84	3	43.56253104	107.1240689	15.47773333	-3.610336458	1.092792473	3.141750047	0.590137502
ENST00000333870.3	C17orf74	17	3	7329007	7330816	1506	7.63E-06	2.09E-05	9.93E-07	88	234	10	87.698329	237.590162	12.5075181	-0.019970365	0.113925476	0.702341282	2.15E-06
ENST00000007699.5	YBX2	17	8	7192106	7197819	1095	7.94E-06	1.74E-05	1.51E-06	35	100	2	44.930272	134.2619866	19.27070271	0.918419298	1.44628076	3.89718392	0.968725623
ENST00000302422.3	TMEM256	17	4	7306384	7307403	342	2.32E-06	3.90E-06	2.74E-07	17	33	6	23.20580482	38.11021362	4.293885478	0.798636124	0.404887667	-0.8155914	2.95E-05
ENST00000360325.7	CLDN7	17	4	7163692	7165362	636	3.52E-06	7.45E-06	4.42E-07	39	64	3	39.23213709	82.1503248	6.436215748	0.022976215	0.979481229	1.341698161	0.041384735
ENST00000317370.8	SLC2A4	17	11	7185253	7189948	1530	8.35E-06	1.74E-05	1.29E-06	99	173	5	93.34319512	191.1346788	18.36407223	-0.362976849	0.641589206	3.089185657	0.135386793
ENST00000158762.3	ACAP1	17	22	7240053	7254714	2223	1.13E-05	2.74E-05	2.52E-06	104	205	8	123.5910432	286.9623369	33.43187522	1.092477851	2.366563629	4.357001946	0.237755775
ENST00000302926.2	NLGN2	17	7	7311574	7321118	2508	2.14E-05	4.07E-05	1.21E-06	162	136	0	195.6889507	375.0622548	14.38026703	1.492981273	6.037760516	3.756411946	0.9926247
ENST00000573600.1	CTDNEP1	17	8	7147503	7154615	735	3.30E-06	8.38E-06	6.94E-07	51	35	0	38.15255642	92.08358681	10.82758257	-1.28944913	2.909622278	3.259533084	0.972679931
ENST00000293831.8	EIF4A1	17	11	7476159	7481804	1221	5.50E-06	1.38E-05	1.56E-06	102	37	0	66.963958	161.2750827	22.28929912	-2.654263052	4.78648737	4.676682726	0.999614421
ENST00000316024.5	WRAP53	17	10	7591966	7606804	1647	9.24E-06	1.97E-05	1.82E-06	89	206	5	107.8635001	225.3188613	24.59919653	1.125989907	0.629506164	3.914420716	0.617463015
ENST00000412468.2	SLC35G6	17	2	7384835	7386320	1017	5.72E-06	1.10E-05	4.97E-07	53	107	5	65.47418966	125.4357766	6.241995502	0.955711423	0.805133112	0.492433904	0.000990015
ENST00000557233.1	TNFSF12	17	11	7452470	7464150	993	5.70E-06	1.30E-05	1.34E-06	48	82	0	46.65138249	108.9720527	17.82265594	-0.122407156	1.263786027	4.181922248	0.997954015
ENST00000429205.2	SENP3	17	11	7466393	7474801	1725	6.91E-06	1.99E-05	1.91E-06	71	118	1	65.88658045	180.2023455	20.43108559	-0.390537224	2.266432012	4.258346813	0.99599542
ENST00000226091.2	EFNB3	17	5	7608916	7612894	1023	4.87E-06	1.22E-05	8.89E-07	59	96	2	53.55356292	131.2740623	9.655819017	-0.461389818	1.505854028	2.440544849	0.456670731
ENST00000338784.4	TNFSF13	17	6	7462356	7464150	753	3.23E-06	7.47E-06	7.80E-07	33	70	1	37.45099553	83.46291129	10.95966523	0.450894904	0.720789871	2.980133998	0.877768013
ENST00000380450.4	SHBG	17	8	7533490	7536670	1209	5.14E-06	1.18E-05	9.77E-07	68	138	8	58.21790065	128.9410345	13.91080536	-0.794791732	-0.390212518	1.569857293	0.000188842
ENST00000572933.1	DNAH2	17	85	7623052	7736851	13284	6.06E-05	0.000150406	1.21E-05	711	1509	67	711.1207382	1715.893909	169.8457009	0.002805983	2.4429754	7.817151854	2.49E-21
ENST00000322644.6	POLR2A	17	29	7388083	7417496	5913	3.06E-05	7.07E-05	4.28E-06	463	298	3	348.1847197	792.2841165	59.05795006	-3.814559662	8.589198899	7.225829501	0.999999942
ENST00000250113.7	FXR2	17	17	7495147	7517850	2022	8.48E-06	2.48E-05	2.65E-06	91	164	2	84.93423469	244.2716653	32.49110574	-0.408031824	2.512131271	5.298838082	0.999770109
ENST00000311403.4	ZBTB4	17	2	7365258	7370120	3042	1.67E-05	3.80E-05	1.65E-06	198	307	0	179.9010867	410.2359694	18.63664227	-0.836536236	2.493048722	4.276352539	0.998490203
ENST00000250055.2	SOX15	17	2	7491695	7492994	702	5.65E-06	1.06E-05	4.42E-07	23	52	1	47.51504573	88.55845533	4.385008672	2.204786649	1.900156105	1.601268711	0.361605911
ENST00000293826.4	TNFSF12-TNFSF13	17	11	7452470	7464150	993	5.70E-06	1.30E-05	1.34E-06	48	82	0	46.65138249	108.9720527	17.82265594	-0.122407156	1.263786027	4.181922248	0.997954015
ENST00000269305.4	TP53	17	10	7572926	7579912	1182	5.60E-06	1.41E-05	1.11E-06	67	125	2	66.44460055	160.742888	16.35129909	-0.042240156	1.378924009	3.515643359	0.912222953
ENST00000250092.6	CD68	17	6	7482995	7484829	1065	4.82E-06	1.02E-05	9.06E-07	59	128	7	56.1654106	116.7718616	12.57795237	-0.234479691	-0.508222079	1.557971542	0.000599774
ENST00000269298.5	SAT2	17	6	7529764	7530953	513	2.44E-06	5.67E-06	5.21E-07	23	54	4	30.12508	66.7186002	8.41454997	0.804776077	0.761609407	1.507511584	0.017616305
ENST00000250124.6	MPDU1	17	7	7487180	7490869	744	4.26E-06	7.44E-06	6.22E-07	44	69	3	49.85391314	85.22028019	9.797606657	0.513979604	0.859415818	2.151224363	0.144211428
ENST00000250111.4	ATP1B2	17	7	7554836	7559213	873	4.92E-06	1.11E-05	1.10E-06	47	108	4	56.08999931	122.5272357	14.85924169	0.752437771	0.641921734	2.790556873	0.179758869
ENST00000318227.3	ALOXE3	17	16	7999944	8022096	2532	1.43E-05	3.07E-05	2.36E-06	129	273	23	140.1148754	297.4418853	28.90370375	0.582120457	0.693186861	1.087770852	2.16E-13
ENST00000301599.6	TMEM88	17	2	7758392	7759032	480	3.56E-06	7.91E-06	3.56E-07	42	63	1	37.22881195	83.32616434	4.300297538	-0.484770979	1.089133476	1.576498533	0.353473968
ENST00000315684.8	CTC1	17	23	8131497	8151354	3654	1.57E-05	3.70E-05	3.31E-06	187	438	19	181.5618685	414.3692956	45.31208621	-0.250198254	-0.567805004	3.872023737	3.51E-07
ENST00000316509.6	VAMP2	17	5	8064172	8066197	351	1.87E-06	3.95E-06	3.87E-07	25	16	0	22.63233178	45.64006477	5.701698793	-0.308536094	2.14596415	2.365330523	0.837117601
ENST00000303790.2	KCNAB3	17	14	7826419	7832753	1215	6.54E-06	1.37E-05	1.96E-06	62	130	20	64.6859194	131.8890815	24.58916129	0.207032115	0.080457578	0.916750479	6.03E-12
ENST00000254846.5	KDM6B	17	19	7748872	7756839	5049	2.96E-05	6.63E-05	3.84E-06	356	554	3	307.6752904	684.3652255	46.84568512	-1.707938873	2.437441497	6.345732797	0.999994425
ENST00000541682.2	HES7	17	4	8024888	8027402	693	7.51E-06	1.38E-05	4.59E-07	22	54	0	51.7681482	96.15523908	4.786995469	2.564897476	2.102720467	2.167310723	0.78288357
ENST00000380183.4	ALOX15B	17	14	7942473	7951883	2031	1.02E-05	2.26E-05	1.75E-06	90	241	20	108.92996	235.8661879	23.20573573	1.124414286	-0.163501801	0.659203848	1.92E-12
ENST00000380358.4	CHD3	17	40	7788124	7814903	6180	3.21E-05	7.35E-05	6.45E-06	310	350	7	320.0979151	750.2591791	83.53647178	0.349896086	7.147466225	8.295070102	0.999999996
ENST00000380262.3	CNTROB	17	19	7836397	7852828	2778	1.19E-05	3.10E-05	2.83E-06	154	336	24	143.354497	359.1790742	39.99857328	-0.551200811	0.598215185	2.505813244	1.24E-11
ENST00000333775.5	LSMD1	17	2	7760048	7760741	522	4.07E-06	8.58E-06	3.44E-07	37	69	4	46.999268	98.0679796	4.73391012	0.904216029	1.435713191	0.334135529	0.002876485
ENST00000332439.4	CYB5D1	17	4	7761452	7762930	687	4.57E-06	9.61E-06	5.54E-07	37	68	7	53.15093409	109.9891717	7.78642183	1.373382667	1.958299082	0.279174848	4.58E-05
ENST00000254854.4	GUCY2D	17	18	7906365	7919848	3312	2.53E-05	5.17E-05	2.54E-06	205	349	11	230.0288543	472.7283499	30.61710676	1.023057386	2.783426081	3.511904095	0.000772457
ENST00000316425.5	TMEM107	17	5	8077520	8079604	441	2.53E-06	5.28E-06	3.10E-07	22	40	3	30.710628	61.86904	5.6132154	0.97443895	1.359907886	1.092594819	0.02890558
ENST00000317276.4	PER1	17	22	8044385	8054024	3873	2.08E-05	4.64E-05	3.18E-06	277	513	8	226.082835	495.0282394	41.76822629	-2.099327708	-0.395087302	5.175769343	0.875748962
ENST00000399413.3	AC129492.6	17	1	7983319	7983814	495	3.41E-06	7.73E-06	4.24E-07	23	59	0	36.36039444	82.01271666	4.865552721	1.373581198	1.242921756	2.185021913	0.788053355
ENST00000303731.4	TRAPPC1	17	4	7833923	7835147	438	2.36E-06	5.43E-06	4.65E-07	32	34	2	28.40702	63.2544978	6.94955963	-0.417918327	1.799133669	1.859848768	0.227722385
ENST00000585124.1	AURKB	17	8	8108188	8113542	1035	4.96E-06	1.23E-05	1.04E-06	50	130	6	56.28977589	135.4019646	14.07151545	0.519720834	0.227069359	2.131445958	0.005882339
ENST00000319144.4	ALOX12B	17	15	7976088	7990760	2106	1.31E-05	2.77E-05	1.85E-06	110	192	6	135.2521154	280.5345141	23.55128779	1.346092713	2.585448413	3.582542958	0.173314448
ENST00000293845.3	CCDC42	17	7	8633447	8647927	951	4.66E-06	1.23E-05	8.73E-07	55	120	9	55.42505737	141.1796678	12.64096506	0.035395382	0.871866817	1.014416151	1.69E-05
ENST00000331336.2	KRBA2	17	2	8272451	8274852	1479	4.72E-06	1.35E-05	8.26E-07	51	157	10	54.371513	154.0436051	10.19591388	0.2834577	-0.11650856	0.060777362	3.93E-07
ENST00000447110.1	PIK3R5	17	18	8783955	8814811	2643	1.41E-05	3.14E-05	2.06E-06	143	237	5	149.5906555	326.4383345	27.33175667	0.334063248	2.421249086	4.231348194	0.817693684
ENST00000311434.9	PIK3R6	17	20	8706590	8753111	2262	1.31E-05	2.80E-05	1.86E-06	124	298	23	126.3042356	261.7943178	23.10714141	0.12710444	-1.094493838	0.022078722	1.38E-15
ENST00000329805.4	MFSD6L	17	1	8700677	8702438	1761	9.59E-06	1.91E-05	1.05E-06	110	231	12	109.0401	216.9721231	12.363708	-0.056987859	-0.465808247	0.102463264	2.40E-08
ENST00000360416.3	MYH10	17	42	8379121	8526564	6024	2.65E-05	6.58E-05	5.81E-06	296	428	10	310.8369767	745.5209044	79.90917498	0.521710048	5.687991304	7.746857395	0.99999755
ENST00000226105.6	RANGRF	17	5	8192106	8193254	561	3.56E-06	6.74E-06	5.93E-07	28	74	4	42.439329	78.4386834	8.81483103	1.374080687	0.24513492	1.606437261	0.02076333
ENST00000328248.2	ODF4	17	3	8243369	8249170	774	3.12E-06	7.04E-06	4.13E-07	36	74	5	34.04083616	74.98113252	5.563767744	-0.208170551	0.055420062	0.236758414	0.000650824
ENST00000328794.6	SPDYE4	17	6	8656455	8661700	714	4.02E-06	8.56E-06	1.02E-06	38	73	6	30.4557611	63.79600399	10.23283086	-0.84748163	-0.563632937	1.310758614	0.001221667
ENST00000314666.6	PFAS	17	27	8157255	8172582	4017	2.01E-05	4.85E-05	3.28E-06	256	506	21	232.1736059	544.2498048	47.35954377	-0.969396627	0.801948575	3.794231661	2.79E-08
ENST00000361926.3	ARHGEF15	17	15	8215357	8224311	2526	1.22E-05	3.21E-05	1.87E-06	123	332	9	139.6991362	359.0904936	26.50706685	0.875882242	0.69924845	3.368389668	0.004477181
ENST00000285199.7	USP43	17	15	9548949	9632307	3372	1.97E-05	4.16E-05	2.62E-06	154	285	9	143.1703609	315.4302781	28.54130674	-0.561093531	0.838051994	3.623317477	0.009534304
ENST00000584164.1	RPL26	17	3	8280881	8285628	438	1.60E-06	5.15E-06	5.66E-07	26	26	0	19.345627	59.63365	7.67496056	-0.937918189	2.130319506	2.744275962	0.915888681
ENST00000306357.4	STX8	17	8	9153894	9479125	711	2.78E-06	6.75E-06	9.94E-07	25	93	8	31.40994721	73.25274969	13.29333274	0.709039504	-1.128524861	1.438142499	0.000144083
ENST00000380067.2	SLC25A35	17	6	8192933	8198125	888	4.00E-06	8.66E-06	9.13E-07	50	116	13	47.799441	100.6269793	12.85382817	-0.197320102	-0.749579746	-0.04038658	3.54E-09
ENST00000334527.7	NDEL1	17	8	8347589	8370341	1038	4.40E-06	9.54E-06	1.14E-06	47	88	1	52.74362078	110.392995	15.98370854	0.490286803	1.042456523	3.712531943	0.979221293
ENST00000352665.5	WDR16	17	14	9480012	9546515	1863	9.01E-06	1.92E-05	1.62E-06	104	241	19	107.6528075	222.7453953	24.17790802	0.218254266	-0.598252377	1.04312105	4.05E-11
ENST00000353533.5	MAP2K4	17	11	11924203	12044577	1200	5.60E-06	1.24E-05	1.15E-06	39	38	0	46.43756569	114.3389047	16.79908671	0.676621532	3.491928477	4.060061118	0.99700255
ENST00000226193.5	RCVRN	17	3	9801411	9808497	603	4.23E-06	7.09E-06	5.15E-07	44	67	9	49.230777	81.552746	7.08813055	0.462165538	0.788210529	-0.711347925	2.96E-07
ENST00000432992.2	GAS7	17	14	9820544	10101707	1431	8.91E-06	1.86E-05	1.54E-06	94	119	7	101.5387678	207.1830677	22.40094155	0.46380528	2.996571606	3.223323075	0.025529644
ENST00000226207.5	MYH1	17	38	10395732	10419959	5820	2.10E-05	5.38E-05	4.85E-06	259	629	54	252.9028182	620.7768568	70.00813586	-0.237685729	-0.161429994	1.895205118	1.29E-29
ENST00000262442.4	DNAH9	17	69	11501815	11872844	13461	5.90E-05	0.000136093	1.02E-05	631	1646	80	653.0068939	1492.557985	139.3699989	0.53388714	-1.942652341	4.981637164	1.37E-35
ENST00000330255.5	DHRS7C	17	6	9674804	9694601	939	5.46E-06	1.08E-05	6.24E-07	56	103	9	56.07171989	109.0049924	8.674873503	0.005937694	0.281323643	-0.109347908	1.12E-06
ENST00000262441.5	GLP2R	17	13	9729380	9793022	1662	7.32E-06	1.69E-05	1.74E-06	89	167	15	84.82809699	190.2433688	24.61458828	-0.28081059	0.824254506	1.919659031	1.04E-07
ENST00000255381.2	MYH4	17	38	10346691	10370062	5820	2.08E-05	5.35E-05	5.29E-06	243	618	61	251.5460221	620.4787621	75.494535	0.334043977	0.048673713	1.65248007	8.81E-35
ENST00000379774.4	ADPRM	17	3	10608243	10614461	1029	3.65E-06	8.92E-06	5.59E-07	42	83	3	42.655458	102.3689108	7.58557088	0.062216904	0.936348224	1.649259405	0.065596775
ENST00000418404.3	MYH13	17	39	10204267	10267847	5817	2.86E-05	6.15E-05	4.78E-06	290	709	52	314.2176907	650.6331205	65.07971054	0.846968122	-1.119218788	1.606071948	1.89E-29
