A1BG	alpha-1-B glycoprotein
USP17L2	ubiquitin specific peptidase 17-like family member 2
USP17L3	ubiquitin specific peptidase 17-like family member 3
USP17L4	ubiquitin specific peptidase 17-like family member 4
USP17L5	ubiquitin specific peptidase 17-like family member 5
USP17L6P	ubiquitin specific peptidase 17-like family member 6, pseudogene
USP17L7	ubiquitin specific peptidase 17-like family member 7
USP17L8	ubiquitin specific peptidase 17-like family member 8
USP17L9P	ubiquitin specific peptidase 17-like family member 9, pseudogene
USP17L10	ubiquitin specific peptidase 17-like family member 10
USP17L11	ubiquitin specific peptidase 17-like family member 11
USP17L12	ubiquitin specific peptidase 17-like family member 12
USP17L13	ubiquitin specific peptidase 17-like family member 13
USP17L14P	ubiquitin specific peptidase 17-like family member 14, pseudogene
USP17L15	ubiquitin specific peptidase 17-like family member 15
USP17L16P	ubiquitin specific peptidase 17-like family member 16, pseudogene
USP17L17	ubiquitin specific peptidase 17-like family member 17
USP17L18	ubiquitin specific peptidase 17-like family member 18
USP17L19	ubiquitin specific peptidase 17-like family member 19
USP17L20	ubiquitin specific peptidase 17-like family member 20
USP17L21	ubiquitin specific peptidase 17-like family member 21
USP17L22	ubiquitin specific peptidase 17-like family member 22
USP17L23	ubiquitin specific peptidase 17-like family member 23
USP17L24	ubiquitin specific peptidase 17-like family member 24
USP17L25	ubiquitin specific peptidase 17-like family member 25
USP17L26	ubiquitin specific peptidase 17-like family member 26
USP17L27	ubiquitin specific peptidase 17-like family member 27
USP17L28	ubiquitin specific peptidase 17-like family member 28
USP17L29	ubiquitin specific peptidase 17-like family member 29
USP17L30	ubiquitin specific peptidase 17-like family member 30
USP18	ubiquitin specific peptidase 18
USP19	ubiquitin specific peptidase 19
USP20	ubiquitin specific peptidase 20
USP21	ubiquitin specific peptidase 21
USP22	ubiquitin specific peptidase 22
USP24	ubiquitin specific peptidase 24
USP24P1	ubiquitin specific peptidase 24 pseudogene 1
USP25	ubiquitin specific peptidase 25
USP26	ubiquitin specific peptidase 26
USP27X	ubiquitin specific peptidase 27, X-linked
USP27X-AS1	USP27X antisense RNA 1 (head to head)
USP28	ubiquitin specific peptidase 28
USP29	ubiquitin specific peptidase 29
USP30	ubiquitin specific peptidase 30
USP30-AS1	USP30 antisense RNA 1
USP31	ubiquitin specific peptidase 31
USP32	ubiquitin specific peptidase 32
USP32P1	ubiquitin specific peptidase 32 pseudogene 1
USP32P2	ubiquitin specific peptidase 32 pseudogene 2
USP32P3	ubiquitin specific peptidase 32 pseudogene 3
USP32P4	ubiquitin specific peptidase 32 pseudogene 4
USP33	ubiquitin specific peptidase 33
USP34	ubiquitin specific peptidase 34
USP35	ubiquitin specific peptidase 35
USP36	ubiquitin specific peptidase 36
USP37	ubiquitin specific peptidase 37
USP38	ubiquitin specific peptidase 38
USP39	ubiquitin specific peptidase 39
USP40	ubiquitin specific peptidase 40
USP41	ubiquitin specific peptidase 41
USP42	ubiquitin specific peptidase 42
USP43	ubiquitin specific peptidase 43
USP44	ubiquitin specific peptidase 44
USP45	ubiquitin specific peptidase 45
USP46	ubiquitin specific peptidase 46
USP46-AS1	USP46 antisense RNA 1
USP47	ubiquitin specific peptidase 47
USP48	ubiquitin specific peptidase 48
USP49	ubiquitin specific peptidase 49
USP50	ubiquitin specific peptidase 50
USP51	ubiquitin specific peptidase 51
USP53	ubiquitin specific peptidase 53
USP54	ubiquitin specific peptidase 54
USPL1	ubiquitin specific peptidase like 1
UST	uronyl 2-sulfotransferase
UST-AS1	UST antisense RNA 1
UTF1	undifferentiated embryonic cell transcription factor 1
UTP3	UTP3, small subunit processome component homolog (S. cerevisiae)
UTP4	UTP4, small subunit processome component
UTP6	UTP6, small subunit processome component
UTP11	UTP11, small subunit processome component homolog (S. cerevisiae)
UTP14A	UTP14A small subunit processome component
UTP14C	UTP14, small subunit processome component homolog C (S. cerevisiae)
UTP15	UTP15, small subunit processome component
UTP18	UTP18, small subunit processome component
UTP20	UTP20, small subunit processome component
UTP23	UTP23, small subunit processome component
UTRN	utrophin
UTS2	urotensin 2
UTS2B	urotensin 2B
UTS2R	urotensin 2 receptor
UTY	ubiquitously transcribed tetratricopeptide repeat containing, Y-linked
UVRAG	UV radiation resistance associated
UVSSA	UV stimulated scaffold protein A
UXS1	UDP-glucuronate decarboxylase 1
UXT	ubiquitously expressed prefoldin like chaperone
UXT-AS1	UXT antisense RNA 1
VAC14	Vac14, PIKFYVE complex component
VAC14-AS1	VAC14 antisense RNA 1
VAMP1	vesicle associated membrane protein 1
VAMP2	vesicle associated membrane protein 2
VAMP3	vesicle associated membrane protein 3
VAMP4	vesicle associated membrane protein 4
VAMP5	vesicle associated membrane protein 5
VAMP7	vesicle associated membrane protein 7
VAMP8	vesicle associated membrane protein 8
VANGL1	VANGL planar cell polarity protein 1
VANGL2	VANGL planar cell polarity protein 2
VAPA	VAMP associated protein A
VAPB	VAMP (vesicle-associated membrane protein)-associated protein B and C
VARS	valyl-tRNA synthetase
VARS2	valyl-tRNA synthetase 2, mitochondrial
VASH1	vasohibin 1
VASH2	vasohibin 2
VASN	vasorin
VASP	vasodilator-stimulated phosphoprotein
VAT1	vesicle amine transport 1
VAT1L	vesicle amine transport 1-like
VAV1	vav guanine nucleotide exchange factor 1
VAV2	vav guanine nucleotide exchange factor 2
VAV3	vav guanine nucleotide exchange factor 3
VAV3-AS1	VAV3 antisense RNA 1
VAX1	ventral anterior homeobox 1
VAX2	ventral anterior homeobox 2
VBP1	von Hippel-Lindau binding protein 1
VCAM1	vascular cell adhesion molecule 1
VCAN	versican
VCAN-AS1	VCAN antisense RNA 1
VCL	vinculin
VCP	valosin containing protein
VCPIP1	valosin containing protein (p97)/p47 complex interacting protein 1
VCPKMT	valosin containing protein lysine methyltransferase
VCX	variable charge, X-linked
VCX2	variable charge, X-linked 2
VCX3A	variable charge, X-linked 3A
VCX3B	variable charge, X-linked 3B
VCY	variable charge, Y-linked
VCY1B	variable charge, Y-linked 1B
VDAC1	voltage dependent anion channel 1
VDAC1P1	voltage dependent anion channel 1 pseudogene 1
VDAC1P2	voltage dependent anion channel 1 pseudogene 2
VDAC1P3	voltage dependent anion channel 1 pseudogene 3
VDAC1P4	voltage dependent anion channel 1 pseudogene 4
VDAC1P5	voltage dependent anion channel 1 pseudogene 5
VDAC1P6	voltage dependent anion channel 1 pseudogene 6
VDAC1P7	voltage dependent anion channel 1 pseudogene 7
VDAC1P8	voltage dependent anion channel 1 pseudogene 8
VDAC1P9	voltage dependent anion channel 1 pseudogene 9
VDAC1P10	voltage dependent anion channel 1 pseudogene 10
VDAC1P11	voltage dependent anion channel 1 pseudogene 11
VDAC1P12	voltage dependent anion channel 1 pseudogene 12
VDAC1P13	voltage dependent anion channel 1 pseudogene 13
VDAC2	voltage dependent anion channel 2
VDAC2P1	voltage dependent anion channel 2 pseudogene 1
VDAC2P2	voltage dependent anion channel 2 pseudogene 2
VDAC2P3	voltage dependent anion channel 2 pseudogene 3
VDAC2P4	voltage dependent anion channel 2 pseudogene 4
VDAC3	voltage dependent anion channel 3
VDAC3P1	voltage dependent anion channel 3 pseudogene 1
VDI	vesicular stomatitis virus defective interfering particle suppression
VDR	vitamin D (1,25- dihydroxyvitamin D3) receptor
VEGFA	vascular endothelial growth factor A
VEGFB	vascular endothelial growth factor B
VEGFC	vascular endothelial growth factor C
VENTX	VENT homeobox
VENTXP1	VENT homeobox pseudogene 1
VENTXP2	VENT homeobox pseudogene 2
VENTXP3	VENT homeobox pseudogene 3
VENTXP4	VENT homeobox pseudogene 4
VENTXP5	VENT homeobox pseudogene 5
VENTXP6	VENT homeobox pseudogene 6
VENTXP7	VENT homeobox pseudogene 7
VEPH1	ventricular zone expressed PH domain containing 1
VEZF1	vascular endothelial zinc finger 1
VEZF1P1	vascular endothelial zinc finger 1 pseudogene 1
VEZT	vezatin, adherens junctions transmembrane protein
VGF	VGF nerve growth factor inducible
VGLL1	vestigial like family member 1
VGLL2	vestigial like family member 2
VGLL3	vestigial like family member 3
VGLL4	vestigial like family member 4
VHL	von Hippel-Lindau tumor suppressor
VHLL	von Hippel-Lindau tumor suppressor like
VIL1	villin 1
VILL	villin-like
VIM	vimentin
VIM-AS1	VIM antisense RNA 1
VIM2P	vimentin 2, pseudogene
VIMP	VCP interacting membrane selenoprotein
VIP	vasoactive intestinal peptide
VIPAS39	VPS33B interacting protein, apical-basolateral polarity regulator, spe-39 homolog
VIPR1	vasoactive intestinal peptide receptor 1
VIPR1-AS1	VIPR1 antisense RNA 1
VIPR2	vasoactive intestinal peptide receptor 2
VIS1	viral integration site 1
VIT	vitrin
VKORC1	vitamin K epoxide reductase complex subunit 1
VKORC1L1	vitamin K epoxide reductase complex subunit 1 like 1
VKORC1P1	VKORC1 pseudogene 1
VKORC1P2	VKORC1 pseudogene 2
VLDLR	very low density lipoprotein receptor
VLDLR-AS1	VLDLR antisense RNA 1
VMA21	VMA21 vacuolar H+-ATPase homolog (S. cerevisiae)
VMAC	vimentin-type intermediate filament associated coiled-coil protein
VMD1	vitelliform macular dystrophy, atypical
VMO1	vitelline membrane outer layer 1 homolog
VMP1	vacuole membrane protein 1
VN1R1	vomeronasal 1 receptor 1
VN1R2	vomeronasal 1 receptor 2
VN1R3	vomeronasal 1 receptor 3 (gene/pseudogene)
VN1R4	vomeronasal 1 receptor 4
VN1R5	vomeronasal 1 receptor 5 (gene/pseudogene)
VN1R6P	vomeronasal 1 receptor 6 pseudogene
VN1R7P	vomeronasal 1 receptor 7 pseudogene
VN1R8P	vomeronasal 1 receptor 8 pseudogene
VN1R9P	vomeronasal 1 receptor 9 pseudogene
VN1R10P	vomeronasal 1 receptor 10 pseudogene
VN1R11P	vomeronasal 1 receptor 11 pseudogene
VN1R12P	vomeronasal 1 receptor 12 pseudogene
VN1R13P	vomeronasal 1 receptor 13 pseudogene
VN1R14P	vomeronasal 1 receptor 14 pseudogene
VN1R15P	vomeronasal 1 receptor 15 pseudogene
VN1R16P	vomeronasal 1 receptor 16 pseudogene
VN1R17P	vomeronasal 1 receptor 17 pseudogene
VN1R18P	vomeronasal 1 receptor 18 pseudogene
VN1R19P	vomeronasal 1 receptor 19 pseudogene
VN1R20P	vomeronasal 1 receptor 20 pseudogene
VN1R21P	vomeronasal 1 receptor 21 pseudogene
VN1R22P	vomeronasal 1 receptor 22 pseudogene
VN1R23P	vomeronasal 1 receptor 23 pseudogene
VN1R24P	vomeronasal 1 receptor 24 pseudogene
VN1R25P	vomeronasal 1 receptor 25 pseudogene
VN1R26P	vomeronasal 1 receptor 26 pseudogene
VN1R27P	vomeronasal 1 receptor 27 pseudogene
VN1R28P	vomeronasal 1 receptor 28 pseudogene
VN1R29P	vomeronasal 1 receptor 29 pseudogene
VN1R30P	vomeronasal 1 receptor 30 pseudogene
VN1R31P	vomeronasal 1 receptor 31 pseudogene
VN1R32P	vomeronasal 1 receptor 32 pseudogene
VN1R33P	vomeronasal 1 receptor 33 pseudogene
VN1R34P	vomeronasal 1 receptor 34 pseudogene
VN1R35P	vomeronasal 1 receptor 35 pseudogene
VN1R36P	vomeronasal 1 receptor 36 pseudogene
VN1R37P	vomeronasal 1 receptor 37 pseudogene
VN1R38P	vomeronasal 1 receptor 38 pseudogene
VN1R39P	vomeronasal 1 receptor 39 pseudogene
VN1R40P	vomeronasal 1 receptor 40 pseudogene
VN1R41P	vomeronasal 1 receptor 41 pseudogene
VN1R42P	vomeronasal 1 receptor 42 pseudogene
VN1R43P	vomeronasal 1 receptor 43 pseudogene
VN1R44P	vomeronasal 1 receptor 44 pseudogene
VN1R45P	vomeronasal 1 receptor 45 pseudogene
VN1R46P	vomeronasal 1 receptor 46 pseudogene
VN1R47P	vomeronasal 1 receptor 47 pseudogene
VN1R48P	vomeronasal 1 receptor 48 pseudogene
VN1R49P	vomeronasal 1 receptor 49 pseudogene
VN1R51P	vomeronasal 1 receptor 51 pseudogene
VN1R52P	vomeronasal 1 receptor 52 pseudogene
VN1R53P	vomeronasal 1 receptor 53 pseudogene
VN1R54P	vomeronasal 1 receptor 54 pseudogene
VN1R55P	vomeronasal 1 receptor 55 pseudogene
VN1R56P	vomeronasal 1 receptor 56 pseudogene
VN1R57P	vomeronasal 1 receptor 57 pseudogene
VN1R58P	vomeronasal 1 receptor 58 pseudogene
VN1R59P	vomeronasal 1 receptor 59 pseudogene
VN1R60P	vomeronasal 1 receptor 60 pseudogene
VN1R61P	vomeronasal 1 receptor 61 pseudogene
VN1R62P	vomeronasal 1 receptor 62 pseudogene
VN1R63P	vomeronasal 1 receptor 63 pseudogene
VN1R64P	vomeronasal 1 receptor 64 pseudogene
VN1R65P	vomeronasal 1 receptor 65 pseudogene
VN1R66P	vomeronasal 1 receptor 66 pseudogene
VN1R67P	vomeronasal 1 receptor 67 pseudogene
VN1R68P	vomeronasal 1 receptor 68 pseudogene
VN1R69P	vomeronasal 1 receptor 69 pseudogene
VN1R70P	vomeronasal 1 receptor 70 pseudogene
VN1R71P	vomeronasal 1 receptor 71 pseudogene
VN1R72P	vomeronasal 1 receptor 72 pseudogene
VN1R73P	vomeronasal 1 receptor 73 pseudogene
VN1R74P	vomeronasal 1 receptor 74 pseudogene
VN1R75P	vomeronasal 1 receptor 75 pseudogene
VN1R76P	vomeronasal 1 receptor 76 pseudogene
VN1R77P	vomeronasal 1 receptor 77 pseudogene
VN1R78P	vomeronasal 1 receptor 78 pseudogene
VN1R79P	vomeronasal 1 receptor 79 pseudogene
VN1R80P	vomeronasal 1 receptor 80 pseudogene
VN1R81P	vomeronasal 1 receptor 81 pseudogene
VN1R82P	vomeronasal 1 receptor 82 pseudogene
VN1R83P	vomeronasal 1 receptor 83 pseudogene
VN1R84P	vomeronasal 1 receptor 84 pseudogene
VN1R85P	vomeronasal 1 receptor 85 pseudogene
VN1R86P	vomeronasal 1 receptor 86 pseudogene
VN1R87P	vomeronasal 1 receptor 87 pseudogene
VN1R88P	vomeronasal 1 receptor 88 pseudogene
VN1R89P	vomeronasal 1 receptor 89 pseudogene
VN1R90P	vomeronasal 1 receptor 90 pseudogene
VN1R91P	vomeronasal 1 receptor 91 pseudogene
VN1R92P	vomeronasal 1 receptor 92 pseudogene
VN1R93P	vomeronasal 1 receptor 93 pseudogene
VN1R94P	vomeronasal 1 receptor 94 pseudogene
VN1R95P	vomeronasal 1 receptor 95 pseudogene
VN1R96P	vomeronasal 1 receptor 96 pseudogene
VN1R97P	vomeronasal 1 receptor 97 pseudogene
VN1R98P	vomeronasal 1 receptor 98 pseudogene
VN1R99P	vomeronasal 1 receptor 99 pseudogene
VN1R100P	vomeronasal 1 receptor 100 pseudogene
VN1R101P	vomeronasal 1 receptor 101 pseudogene
VN1R102P	vomeronasal 1 receptor 102 pseudogene
VN1R103P	vomeronasal 1 receptor 103 pseudogene
VN1R104P	vomeronasal 1 receptor 104 pseudogene
VN1R105P	vomeronasal 1 receptor 105 pseudogene
VN1R106P	vomeronasal 1 receptor 106 pseudogene
VN1R107P	vomeronasal 1 receptor 107 pseudogene
VN1R108P	vomeronasal 1 receptor 108 pseudogene
VN1R109P	vomeronasal 1 receptor 109 pseudogene
VN1R110P	vomeronasal 1 receptor 110 pseudogene
VN1R111P	vomeronasal 1 receptor 111 pseudogene
VN1R112P	vomeronasal 1 receptor 112 pseudogene
VN2R1P	vomeronasal 2 receptor 1 pseudogene
VN2R2P	vomeronasal 2 receptor 2 pseudogene
VN2R3P	vomeronasal 2 receptor 3 pseudogene
VN2R6P	vomeronasal 2 receptor 6 pseudogene
VN2R7P	vomeronasal 2 receptor 7 pseudogene
VN2R9P	vomeronasal 2 receptor 9 pseudogene
VN2R10P	vomeronasal 2 receptor 10 pseudogene
VN2R11P	vomeronasal 2 receptor 11 pseudogene
VN2R12P	vomeronasal 2 receptor 12 pseudogene
VN2R13P	vomeronasal 2 receptor 13 pseudogene
VN2R14P	vomeronasal 2 receptor 14 pseudogene
VN2R15P	vomeronasal 2 receptor 15 pseudogene
VN2R16P	vomeronasal 2 receptor 16 pseudogene
VN2R17P	vomeronasal 2 receptor 17 pseudogene
VN2R18P	vomeronasal 2 receptor 18 pseudogene
VN2R19P	vomeronasal 2 receptor 19 pseudogene
VN2R20P	vomeronasal 2 receptor 20 pseudogene
VN2R21P	vomeronasal 2 receptor 21 pseudogene
VNN1	vanin 1
VNN2	vanin 2
VNN3	vanin 3
VOPP1	vesicular, overexpressed in cancer, prosurvival protein 1
VPRBP	Vpr (HIV-1) binding protein
VPREB1	pre-B lymphocyte 1
VPREB3	pre-B lymphocyte 3
VPS4A	vacuolar protein sorting 4 homolog A
VPS4B	vacuolar protein sorting 4 homolog B
VPS8	VPS8, CORVET complex subunit
VPS9D1	VPS9 domain containing 1
VPS9D1-AS1	VPS9D1 antisense RNA 1
VPS11	VPS11, CORVET/HOPS core subunit
VPS13A	vacuolar protein sorting 13 homolog A
VPS13A-AS1	VPS13A antisense RNA 1
VPS13B	vacuolar protein sorting 13 homolog B (yeast)
VPS13C	vacuolar protein sorting 13 homolog C
VPS13D	vacuolar protein sorting 13 homolog D
VPS16	VPS16, CORVET/HOPS core subunit
VPS18	VPS18, CORVET/HOPS core subunit
VPS25	vacuolar protein sorting 25 homolog
VPS25P1	VPS25 pseudogene 1
VPS26A	VPS26 retromer complex component A
VPS26AP1	VPS26A pseudogene 1
VPS26B	VPS26 retromer complex component B
VPS26BP1	VPS26B pseudogene 1
VPS28	VPS28, ESCRT-I subunit
VPS29	VPS29 retromer complex component
VPS33A	VPS33A, CORVET/HOPS core subunit
VPS33B	VPS33B, late endosome and lysosome associated
VPS35	VPS35 retromer complex component
VPS35P1	VPS35, retromer complex component pseudogene 1
VPS36	vacuolar protein sorting 36 homolog
VPS37A	VPS37A, ESCRT-I subunit
VPS37B	VPS37B, ESCRT-I subunit
VPS37C	VPS37C, ESCRT-I subunit
VPS37D	VPS37D, ESCRT-I subunit
VPS39	VPS39, HOPS complex subunit
VPS41	VPS41, HOPS complex subunit
VPS45	vacuolar protein sorting 45 homolog
VPS50	VPS50, EARP/GARPII complex subunit
VPS51	VPS51, GARP complex subunit
VPS52	VPS52, GARP complex subunit
VPS53	VPS53, GARP complex subunit
VPS54	VPS54, GARP complex subunit
VPS72	vacuolar protein sorting 72 homolog
VRK1	vaccinia related kinase 1
VRK2	vaccinia related kinase 2
VRK3	vaccinia related kinase 3
VRTN	vertebrae development associated
VSIG1	V-set and immunoglobulin domain containing 1
VSIG2	V-set and immunoglobulin domain containing 2
VSIG4	V-set and immunoglobulin domain containing 4
VSIG8	V-set and immunoglobulin domain containing 8
VSIG10	V-set and immunoglobulin domain containing 10
VSIG10L	V-set and immunoglobulin domain containing 10 like
VSNL1	visinin like 1
VSTM1	V-set and transmembrane domain containing 1
VSTM2A	V-set and transmembrane domain containing 2A
VSTM2A-OT1	VSTM2A overlapping transcript 1
VSTM2B	V-set and transmembrane domain containing 2B
VSTM2L	V-set and transmembrane domain containing 2 like
VSTM4	V-set and transmembrane domain containing 4
VSTM5	V-set and transmembrane domain containing 5
VSX1	visual system homeobox 1
VSX2	visual system homeobox 2
VTA1	vesicle trafficking 1
VTA1P1	vesicle (multivesicular body) trafficking 1 pseudogene 1
VTA1P2	vesicle (multivesicular body) trafficking 1 pseudogene 2
VTCN1	V-set domain containing T cell activation inhibitor 1
VTI1A	vesicle transport through interaction with t-SNAREs 1A
VTI1B	vesicle transport through interaction with t-SNAREs 1B
VTI1BP1	vesicle transport through interaction with t-SNAREs 1B pseudogene 1
VTI1BP2	vesicle transport through interaction with t-SNAREs 1B pseudogene 2
VTI1BP3	vesicle transport through interaction with t-SNAREs 1B pseudogene 3
VTI1BP4	vesicle transport through interaction with t-SNAREs 1B pseudogene 4
VTN	vitronectin
VTRNA1-1	vault RNA 1-1
VTRNA1-2	vault RNA 1-2
VTRNA1-3	vault RNA 1-3
VTRNA2-1	vault RNA 2-1
VTRNA2-2P	vault RNA 2-2, pseudogene
VTRNA3-1P	vault RNA 3-1, pseudogene
VWA1	von Willebrand factor A domain containing 1
VWA2	von Willebrand factor A domain containing 2
VWA3A	von Willebrand factor A domain containing 3A
VWA3B	von Willebrand factor A domain containing 3B
VWA5A	von Willebrand factor A domain containing 5A
VWA5B1	von Willebrand factor A domain containing 5B1
VWA5B2	von Willebrand factor A domain containing 5B2
VWA7	von Willebrand factor A domain containing 7
VWA8	von Willebrand factor A domain containing 8
VWA8-AS1	VWA8 antisense RNA 1 (head to head)
VWA8P1	von Willebrand factor A domain containing 8 pseudogene 1
VWA9	von Willebrand factor A domain containing 9
VWC2	von Willebrand factor C domain containing 2
VWC2L	von Willebrand factor C domain containing protein 2-like
VWC2L-IT1	VWC2L intronic transcript 1
VWCE	von Willebrand factor C and EGF domains
VWDE	von Willebrand factor D and EGF domains
VWF	von Willebrand factor
VWFP1	von Willebrand factor pseudogene 1
WAC	WW domain containing adaptor with coiled-coil
WAC-AS1	WAC antisense RNA 1 (head to head)
WAPL	WAPL cohesin release factor
WARS	tryptophanyl-tRNA synthetase
WARS2	tryptophanyl tRNA synthetase 2, mitochondrial
WARS2-IT1	WARS2 intronic transcript 1
WARS2P1	tryptophanyl tRNA synthetase 2 pseudogene 1
WARSP1	tryptophanyl-tRNA synthetase pseudogene 1
WAS	Wiskott-Aldrich syndrome
WASF1	WAS protein family member 1
WASF1P1	WASF1 pseudogene 1
WASF2	WAS protein family member 2
WASF3	WAS protein family member 3
WASF3-AS1	WASF3 antisense RNA 1
WASF4P	WAS protein family member 4, pseudogene
WASF5P	WAS protein family member 5, pseudogene
WASH1	WAS protein family homolog 1
WASH2P	WAS protein family homolog 2 pseudogene
WASH3P	WAS protein family homolog 3 pseudogene
WASH4P	WAS protein family homolog 4 pseudogene
WASH5P	WAS protein family homolog 5 pseudogene
WASH6P	WAS protein family homolog 6 pseudogene
WASH7P	WAS protein family homolog 7 pseudogene
WASIR1	WASH and IL9R antisense RNA 1
WASIR2	WASH and IL9R antisense RNA 2
WASL	Wiskott-Aldrich syndrome like
WBP1	WW domain binding protein 1
WBP1L	WW domain binding protein 1-like
WBP1LP1	WW domain binding protein 1-like pseudogene 1
WBP1LP2	WW domain binding protein 1-like pseudogene 2
WBP1LP3	WW domain binding protein 1-like pseudogene 3
WBP1LP4	WW domain binding protein 1-like pseudogene 4
WBP1LP5	WW domain binding protein 1-like pseudogene 5
WBP1LP6	WW domain binding protein 1-like pseudogene 6
WBP1LP7	WW domain binding protein 1-like pseudogene 7
WBP1LP8	WW domain binding protein 1-like pseudogene 8
WBP1LP9	WW domain binding protein 1-like pseudogene 9
WBP1LP10	WW domain binding protein 1-like pseudogene 10
WBP1LP11	WW domain binding protein 1-like pseudogene 11
WBP1LP12	WW domain binding protein 1-like pseudogene 12
WBP2	WW domain binding protein 2
WBP2NL	WBP2 N-terminal like
WBP2P1	WW domain binding protein 2 pseudogene 1
WBP4	WW domain binding protein 4
WBP11	WW domain binding protein 11
WBP11P1	WW domain binding protein 11 pseudogene 1
WBS2	Williams-Beuren syndrome type 2
WBSCR2	Williams-Beuren syndrome chromosome region 2
WBSCR16	Williams-Beuren syndrome chromosome region 16
WBSCR17	Williams-Beuren syndrome chromosome region 17
WBSCR22	Williams-Beuren syndrome chromosome region 22
WBSCR27	Williams Beuren syndrome chromosome region 27
WBSCR28	Williams-Beuren syndrome chromosome region 28
WDFY1	WD repeat and FYVE domain containing 1
WDFY2	WD repeat and FYVE domain containing 2
WDFY3	WD repeat and FYVE domain containing 3
WDFY3-AS1	WDFY3 antisense RNA 1
WDFY3-AS2	WDFY3 antisense RNA 2
WDFY4	WDFY family member 4
WDHD1	WD repeat and HMG-box DNA binding protein 1
WDPCP	WD repeat containing planar cell polarity effector
WDR1	WD repeat domain 1
WDR3	WD repeat domain 3
WDR4	WD repeat domain 4
WDR5	WD repeat domain 5
WDR5B	WD repeat domain 5B
WDR6	WD repeat domain 6
WDR7	WD repeat domain 7
WDR7-OT1	WDR7 overlapping transcript 1
WDR11	WD repeat domain 11
WDR11-AS1	WDR11 antisense RNA 1
WDR12	WD repeat domain 12
WDR13	WD repeat domain 13
WDR17	WD repeat domain 17
WDR18	WD repeat domain 18
WDR19	WD repeat domain 19
WDR20	WD repeat domain 20
WDR24	WD repeat domain 24
WDR25	WD repeat domain 25
WDR26	WD repeat domain 26
WDR27	WD repeat domain 27
WDR31	WD repeat domain 31
WDR33	WD repeat domain 33
WDR34	WD repeat domain 34
WDR35	WD repeat domain 35
WDR36	WD repeat domain 36
WDR37	WD repeat domain 37
WDR38	WD repeat domain 38
WDR41	WD repeat domain 41
WDR43	WD repeat domain 43
WDR44	WD repeat domain 44
WDR45	WD repeat domain 45
WDR45B	WD repeat domain 45B
WDR45BP1	WD repeat domain 45B pseudogene 1
WDR46	WD repeat domain 46
WDR47	WD repeat domain 47
WDR48	WD repeat domain 48
WDR49	WD repeat domain 49
WDR53	WD repeat domain 53
WDR54	WD repeat domain 54
WDR55	WD repeat domain 55
WDR59	WD repeat domain 59
WDR60	WD repeat domain 60
WDR61	WD repeat domain 61
WDR62	WD repeat domain 62
WDR63	WD repeat domain 63
WDR64	WD repeat domain 64
WDR66	WD repeat domain 66
WDR70	WD repeat domain 70
WDR72	WD repeat domain 72
WDR73	WD repeat domain 73
WDR74	WD repeat domain 74
WDR75	WD repeat domain 75
WDR76	WD repeat domain 76
WDR77	WD repeat domain 77
WDR78	WD repeat domain 78
WDR81	WD repeat domain 81
WDR82	WD repeat domain 82
WDR82P1	WD repeat domain 82 pseudogene 1
WDR82P2	WD repeat domain 82 pseudogene 2
WDR83	WD repeat domain 83
WDR83OS	WD repeat domain 83 opposite strand
WDR86	WD repeat domain 86
WDR86-AS1	WDR86 antisense RNA 1
WDR87	WD repeat domain 87
WDR88	WD repeat domain 88
WDR89	WD repeat domain 89
WDR90	WD repeat domain 90
WDR91	WD repeat domain 91
WDR92	WD repeat domain 92
WDR93	WD repeat domain 93
WDR95P	WD repeat domain 95, pseudogene
WDR97	WD repeat domain 97
WDSUB1	WD repeat, sterile alpha motif and U-box domain containing 1
WDTC1	WD and tetratricopeptide repeats 1
WDYHV1	WDYHV motif containing 1
WEE1	WEE1 G2 checkpoint kinase
WEE2	WEE1 homolog 2 (S. pombe)
WEE2-AS1	WEE2 antisense RNA 1
WFDC1	WAP four-disulfide core domain 1
WFDC2	WAP four-disulfide core domain 2
WFDC3	WAP four-disulfide core domain 3
WFDC5	WAP four-disulfide core domain 5
WFDC6	WAP four-disulfide core domain 6
WFDC8	WAP four-disulfide core domain 8
WFDC9	WAP four-disulfide core domain 9
WFDC10A	WAP four-disulfide core domain 10A
WFDC10B	WAP four-disulfide core domain 10B
WFDC11	WAP four-disulfide core domain 11
WFDC12	WAP four-disulfide core domain 12
WFDC13	WAP four-disulfide core domain 13
WFDC21P	WAP four-disulfide core domain 21, pseudogene
WFIKKN1	WAP, follistatin/kazal, immunoglobulin, kunitz and netrin domain containing 1
WFIKKN2	WAP, follistatin/kazal, immunoglobulin, kunitz and netrin domain containing 2
WFS1	wolframin ER transmembrane glycoprotein
WHAMM	WAS protein homolog associated with actin, golgi membranes and microtubules
WHAMMP1	WAS protein homolog associated with actin, golgi membranes and microtubules pseudogene 1
WHAMMP2	WAS protein homolog associated with actin, golgi membranes and microtubules pseudogene 2
WHAMMP3	WAS protein homolog associated with actin, golgi membranes and microtubules pseudogene 3
WHCR	Wolf-Hirschhorn syndrome chromosome region
WHSC1	Wolf-Hirschhorn syndrome candidate 1
WHSC1L1	Wolf-Hirschhorn syndrome candidate 1-like 1
WHSC1L2P	Wolf-Hirschhorn syndrome candidate 1-like 2, pseudogene
WIF1	WNT inhibitory factor 1
WIPF1	WAS/WASL interacting protein family member 1
WIPF2	WAS/WASL interacting protein family member 2
WIPF3	WAS/WASL interacting protein family member 3
