accession_number	gene	all_gene_names
Q9BYC9	MRPL20	MRPL20
Q9NQC8	IFT46	IFT46
Q9H0A3	TMEM191A	TMEM191A
Q02577	NHLH2	NHLH2
Q68DU8	KCTD16	KCTD16
Q9H8Q6	HEXA-AS1	HEXA-AS1
Q86T13	CLEC14A	CLEC14A
O95704	APBB3	APBB3
Q15198	PDGFRL	PDGFRL
O76009	KRT33A	KRT33A
P58012	FOXL2	FOXL2
Q9BQ39	DDX50	DDX50
P52895	AKR1C2	AKR1C2
Q5M8T2	SLC35D3	SLC35D3
Q9H0A6	RNF32	RNF32
O95707	POP4	POP4
Q3KQV9	UAP1L1	UAP1L1
P11836	MS4A1	MS4A1
Q9H0A8	COMMD4	COMMD4
Q5JPF3	ANKRD36C	ANKRD36C
P63313	TMSB10	TMSB10
Q9H0A9	SPATC1L	SPATC1L
A6NNB3	IFITM5	IFITM5
Q8N3X1	FNBP4	FNBP4
Q13002	GRIK2	GRIK2
P63316	TNNC1	TNNC1
Q13003	GRIK3	GRIK3
Q6NTF7	APOBEC3H	APOBEC3H
Q8ND23	CARMIL3	CARMIL3
Q8ND24	RNF214	RNF214
P28340	POLD1	POLD1
Q8ND25	ZNRF1	ZNRF1
Q6NTF9	RHBDD2	RHBDD2
Q8N3X6	LCORL	LCORL
Q9UGB4	C20orf187	C20orf187
A1KZ92	PXDNL	PXDNL
Q13007	IL24	IL24
Q13009	TIAM1	TIAM1
Q9UGB7	MIOX	MIOX
Q2M3G0	ABCB5	ABCB5
P28347	TEAD1	TEAD1
S4R3Y5	MTRNR2L11	MTRNR2L11
Q2M3G4	SHROOM1	SHROOM1
Q70UQ0	IKBIP	IKBIP
Q2LD37	KIAA1109	KIAA1109
Q15650	TRIP4	TRIP4
Q8NBK3	SUMF1	SUMF1
Q15651	HMGN3	HMGN3
Q7Z713	ANKRD37	ANKRD37
A0A576	TRBV3-1	TRBV3-1
Q15652	JMJD1C	JMJD1C
A0A577	TRBV4-1	TRBV4-1
Q15653	NFKBIB	NFKBIB
Q96MU5	C17orf77	C17orf77
Q96MU6	ZNF778	ZNF778
Q15654	TRIP6	TRIP6
A0A578	TRBV5-1	TRBV5-1
Q96EE3	SEH1L	SEH1L
Q96MU7	YTHDC1	YTHDC1
P16591	FER	FER
Q96EE4	CCDC126	CCDC126
Q6P1A2	LPCAT3	LPCAT3
Q96MU8	KREMEN1	KREMEN1
A6NDK9	GOLGA6C	GOLGA6C
O60830	TIMM17B	TIMM17B
P42830	CXCL5	CXCL5
O60831	PRAF2	PRAF2
P10515	DLAT	DLAT
Q56UN5	MAP3K19	MAP3K19
Q7Z5J1	HSD11B1L	HSD11B1L
O60832	DKC1	DKC1
Q99453	PHOX2B	PHOX2B
Q8IY42	C4orf19	C4orf19
Q7Z5J4	RAI1	RAI1
Q5VUR7	ANKRD20A3	ANKRD20A3
P0C8F1	PATE4	PATE4
Q99456	KRT12	KRT12
Q9NTX5	ECHDC1	ECHDC1
Q99457	NAP1L3	NAP1L3
Q8IY45	AMN1	AMN1
P03986	TRGC2	TRGC2
Q96T83	SLC9A7	SLC9A7
Q9NTX7	RNF146	RNF146
P09104	ENO2	ENO2
Q9H3V2	MS4A5	MS4A5
Q8IY47	KBTBD2	KBTBD2
P09105	HBQ1	HBQ1
Q99459	CDC5L	CDC5L
Q7Z5J8	ANKAR	ANKAR
O95251	KAT7	KAT7
Q9NTX9	FAM217B	FAM217B
Q8IY49	MMD2	MMD2
P07864	LDHC	LDHC
O43781	DYRK3	DYRK3
P32320	CDA	CDA
Q96T88	UHRF1	UHRF1
Q14CS0	UBXN2B	UBXN2B
P46721	SLCO1A2	SLCO1A2
P32321	DCTD	DCTD
P60763	RAC3	RAC3
P32322	PYCR1	PYCR1
P14406	COX7A2	COX7A2
O15342	ATP6V0E1	ATP6V0E1
O95255	ABCC6	ABCC6
O95256	IL18RAP	IL18RAP
Q8NGG0	OR8J3	OR8J3
O15344	MID1	MID1
O95257	GADD45G	GADD45G
O95258	SLC25A14	SLC25A14
P25786	PSMA1	PSMA1
Q8NGG1	OR8J2	OR8J2
P11387	TOP1	TOP1
P25787	PSMA2	PSMA2
Q8NGG2	OR5T2	OR5T2
O95259	KCNH1	KCNH1
Q96RQ1	ERGIC2	ERGIC2
Q9UJW0	DCTN4	DCTN4
P11388	TOP2A	TOP2A
P25788	PSMA3	PSMA3
Q8NGG3	OR5T3	OR5T3
Q6UWQ5	LYZL1	LYZL1
O15347	HMGB3	HMGB3
Q14330	GPR18	GPR18
Q9UJW2	TINAG	TINAG
P25789	PSMA4	PSMA4
Q9HBI0	PARVG	PARVG
Q8NGG4	OR8H1	OR8H1
Q96RQ3	MCCC1	MCCC1
Q14331	FRG1	FRG1
Q9HBI1	PARVB	PARVB
Q6TGC4	PADI6	PADI6
Q8NGG5	OR8K1	OR8K1
Q9UBG0	MRC2	MRC2
Q96JA1	LRIG1	LRIG1
Q6UWQ7	IGFL2	IGFL2
Q14332	FZD2	FZD2
Q9UJW3	DNMT3L	DNMT3L
Q8NGG6	OR8B12	OR8B12
Q9Y2S2	CRYL1	CRYL1
Q96JA3	PLEKHA8	PLEKHA8
Q8NGG7	OR8A1	OR8A1
Q8NGG8	OR8B3	OR8B3
Q96JA4	MS4A14	MS4A14
Q9UBG3	CRNN	CRNN
Q9UJW7	ZNF229	ZNF229
Q9HBI5	C3orf14	C3orf14
P02652	APOA2	APOA2
Q9UJW8	ZNF180	ZNF180
Q9Y2S6	TMA7	TMA7
Q96RQ9	IL4I1	IL4I1
Q9HBI6	CYP4F11	CYP4F11
Q9UJW9	SERTAD3	SERTAD3
Q9Y2S7	POLDIP2	POLDIP2
Q01718	MC2R	MC2R
P02654	APOC1	APOC1
Q9UBG7	RBPJL	RBPJL
P02655	APOC2	APOC2
Q9NYT0	PLEK2	PLEK2
P02656	APOC3	APOC3
Q5TBB1	RNASEH2B	RNASEH2B
P54132	BLM	BLM
Q96B18	DACT3	DACT3
Q9BYD1	MRPL13	MRPL13
Q9BYD2	MRPL9	MRPL9
P86452	ZBED6	ZBED6
P55916	UCP3	UCP3
Q7KZ85	SUPT6H	SUPT6H
A0A1B0GVQ0	SPAAR	SPAAR
P54136	RARS	RARS
Q9BYD3	MRPL4	MRPL4
O76011	KRT34	KRT34
Q9NYT6	ZNF226	ZNF226
P34981	TRHR	TRHR
P34982	OR1D2	OR1D2
O76013	KRT36	KRT36
Q96HZ4	HES6	HES6
Q9BYD5	CNFN	CNFN
Q9BYD6	MRPL1	MRPL1
O76014	KRT37	KRT37
Q8WUR7	C15orf40	C15orf40
Q86T20	SMIM29	SMIM29
O95711	LY86	LY86
O76015	KRT38	KRT38
Q96HZ7	URB1-AS1	URB1-AS1
A0A0A0MTA7	TRBJ2-1	TRBJ2-1
P20585	MSH3	MSH3
Q68DV7	RNF43	RNF43
Q9BYD9	ACTRT3	ACTRT3
Q6ZTW0	TPGS1	TPGS1
Q9H0B3	IQCN	IQCN
O95714	HERC2	HERC2
A1L429	GAGE12B	GAGE12B|GAGE12C|GAGE12D|GAGE12E
P24462	CYP3A7	CYP3A7
Q86T23	CROCCP2	CROCCP2
Q86T24	ZBTB33	ZBTB33
Q9BQ48	MRPL34	MRPL34
P0DMQ5	INAFM2	INAFM2
O95715	CXCL14	CXCL14
Q9BQ49	SMIM7	SMIM7
O95716	RAB3D	RAB3D
P11844	CRYGA	CRYGA
Q86T26	TMPRSS11B	TMPRSS11B
Q9H0B6	KLC2	KLC2
O95718	ESRRB	ESRRB
A5YKK6	CNOT1	CNOT1
Q3LI54	KRTAP19-8	KRTAP19-8
Q9H0B8	CRISPLD2	CRISPLD2
P0DMQ9	C8orf89	C8orf89
Q86T29	ZNF605	ZNF605
P37088	SCNN1A	SCNN1A
Q8ND30	PPFIBP2	PPFIBP2
P24468	NR2F2	NR2F2
Q8N3Y1	FBXW8	FBXW8
Q6DKI1	RPL7L1	RPL7L1
Q13011	ECH1	ECH1
Q6DKI2	LGALS9C	LGALS9C
Q8N3Y3	LARGE2	LARGE2
Q3LI58	KRTAP21-1	KRTAP21-1
Q3LI59	KRTAP21-2	KRTAP21-2
A0A0A0MRZ7	IGKV2D-26	IGKV2D-26
A6NF34	ANTXRL	ANTXRL
Q13015	MLLT11	MLLT11
A0A0A0MRZ8	IGKV3D-11	IGKV3D-11
Q8N3Y7	SDR16C5	SDR16C5
A0A0A0MRZ9	IGLV5-52	IGLV5-52
A6NF36	CCDC182	CCDC182
Q6DKI7	PVRIG	PVRIG
Q13017	ARHGAP5	ARHGAP5
Q9UGC6	RGS17	RGS17
Q13018	PLA2R1	PLA2R1
P15735	PHKG2	PHKG2
Q9UGC7	MTRF1L	MTRF1L
P28356	HOXD9	HOXD9
P28358	HOXD10	HOXD10
P51570	GALK1	GALK1
P51571	SSR4	SSR4
Q8NBL1	POGLUT1	POGLUT1
Q96MV1	TLCD4	TLCD4
I0J062	PANO1	PANO1
P51572	BCAP31	BCAP31
A0A584	TRBV11-2	TRBV11-2
Q8NBL3	TMEM178A	TMEM178A
Q15661	TPSAB1	TPSAB1
Q96EF0	MTMR8	MTMR8
P51575	P2RX1	P2RX1
A0A0J9YX94	PNMA6F	PNMA6F
P19622	EN2	EN2
P19623	SRM	SRM
A6NDL7	METTL21EP	METTL21EP
A4FU69	EFCAB5	EFCAB5
A0A589	TRBV4-3	TRBV4-3
A6NDL8	OR6C68	OR6C68
Q76MJ5	ERN2	ERN2
Q96MV8	ZDHHC15	ZDHHC15
P23141	CES1	CES1
Q96EF6	FBXO17	FBXO17
P23142	FBLN1	FBLN1
P10523	SAG	SAG
Q2TB10	ZNF800	ZNF800
Q15669	RHOH	RHOH
Q99460	PSMD1	PSMD1
O60840	CACNA1F	CACNA1F
Q96EF9	ZHX1-C8orf76	ZHX1-C8orf76
Q6NYC1	JMJD6	JMJD6
O60841	EIF5B	EIF5B
Q8IY50	SLC35F3	SLC35F3
Q7Z5K2	WAPL	WAPL
Q8IY51	TIGD4	TIGD4
Q99463	NPY6R	NPY6R
O60844	ZG16	ZG16
P24928	POLR2A	POLR2A
P09110	ACAA1	ACAA1
P04222	HLA-C	HLA-C
P10321	HLA-C	HLA-C
P30499	HLA-C	HLA-C
P30501	HLA-C	HLA-C
P30504	HLA-C	HLA-C
P30505	HLA-C	HLA-C
P30508	HLA-C	HLA-C
P30510	HLA-C	HLA-C
Q07000	HLA-C	HLA-C
Q29865	HLA-C	HLA-C
Q29960	HLA-C	HLA-C
Q29963	HLA-C	HLA-C
Q95604	HLA-C	HLA-C
Q9TNN7	HLA-C	HLA-C
Q8N8U2	CDYL2	CDYL2
Q8N8U3	RTL3	RTL3
Q99466	NOTCH4	NOTCH4
Q96T91	GPHA2	GPHA2
Q1AE95	TMEM183B	TMEM183B
Q96T92	INSM2	INSM2
Q99467	CD180	CD180
P14410	SI	SI
Q6NYC8	PPP1R18	PPP1R18
Q2TB18	ASTE1	ASTE1
Q8IY57	YAF2	YAF2
Q99469	STAC	STAC
Q71SY5	MED25	MED25
Q6B8I1	DUSP13	DUSP13
Q9UII6	DUSP13	DUSP13
O95260	ATE1	ATE1
Q86WG3	ATCAY	ATCAY
P03999	OPN1SW	OPN1SW
O43790	KRT86	KRT86
O15350	TP73	TP73
O43791	SPOP	SPOP
Q86WG5	SBF2	SBF2
O95263	PDE8B	PDE8B
Q9H3W5	LRRN3	LRRN3
P25791	LMO2	LMO2
Q8N8U9	BMPER	BMPER
Q9HD15	SRA1	SRA1
O95264	HTR3B	HTR3B
P14415	ATP1B2	ATP1B2
P14416	DRD2	DRD2
O15353	FOXN1	FOXN1
P27037	ACVR2A	ACVR2A
O95267	RASGRP1	RASGRP1
O43795	MYO1B	MYO1B
P46734	MAP2K3	MAP2K3
O15354	GPR37	GPR37
O15355	PPM1G	PPM1G
Q96RR1	TWNK	TWNK
Q9UJX0	OSGIN1	OSGIN1
P46736	BRCC3	BRCC3
Q8NGH3	OR2D3	OR2D3
O15357	INPPL1	INPPL1
Q9HBJ0	PLAC1	PLAC1
Q8IWN6	FAM223A	FAM223A
Q9UJX2	CDC23	CDC23
Q8IWN7	RP1L1	RP1L1
Q8NGH5	OR56A1	OR56A1
Q7L2J0	MEPCE	MEPCE
Q9UBH0	IL36RN	IL36RN
Q6UWR7	ENPP6	ENPP6
Q96JB1	DNAH8	DNAH8
Q96RR4	CAMKK2	CAMKK2
Q9Y2T1	AXIN2	AXIN2
Q9UJX3	ANAPC7	ANAPC7
Q8NGH6	OR52L2P	OR52L2P
Q96JB2	COG3	COG3
Q9Y2T2	AP3M1	AP3M1
Q9UJX4	ANAPC5	ANAPC5
A6NIH7	UNC119B	UNC119B
Q8NGH7	OR52L1	OR52L1
Q96JB3	HIC2	HIC2
Q14344	GNA13	GNA13
Q9Y2T3	GDA	GDA
Q9UJX5	ANAPC4	ANAPC4
Q96B21	TMEM45B	TMEM45B
Q9Y2T4	PPP2R2C	PPP2R2C
Q8NGH8	OR56A4	OR56A4
Q9UJX6	ANAPC2	ANAPC2
Q8NGH9	OR52E4	OR52E4
Q01726	MC1R	MC1R
Q9Y2T5	GPR52	GPR52
Q96JB5	CDK5RAP3	CDK5RAP3
Q96JB6	LOXL4	LOXL4
Q9Y2T6	GPR55	GPR55
P36222	CHI3L1	CHI3L1
Q96B23	C18orf25	C18orf25
Q9Y2T7	YBX2	YBX2
Q9UBH6	XPR1	XPR1
Q9HBJ7	USP29	USP29
A0A1B0GX95	TRBV7-4	TRBV7-4
P0DO92	CDIPTOSP	CDIPTOSP
Q96JB8	MPP4	MPP4
Q9HBJ8	CLTRN	CLTRN
Q96B26	EXOSC8	EXOSC8
Q9NYU1	UGGT2	UGGT2
Q9NYU2	UGGT1	UGGT1
P68543	UBXN2A	UBXN2A
Q9P1T7	MDFIC	MDFIC
Q9BYE0	HES7	HES7
P0DO97	CCDC192	CCDC192
P15289	ARSA	ARSA
Q9BYE2	TMPRSS13	TMPRSS13
Q9BQ50	TREX2	TREX2
O76021	RSL1D1	RSL1D1
Q9BYE3	LCE3D	LCE3D
A5PL33	KRBA1	KRBA1
Q9BYE4	SPRR2G	SPRR2G
Q9BQ51	PDCD1LG2	PDCD1LG2
P20591	MX1	MX1
P20592	MX2	MX2
Q99928	GABRG3	GABRG3
Q9BQ52	ELAC2	ELAC2
Q5TBC7	BCL2L15	BCL2L15
O76024	WFS1	WFS1
O60381	HBP1	HBP1
Q99929	ASCL2	ASCL2
O95721	SNAP29	SNAP29
Q8WUS8	SDR42E1	SDR42E1
Q9BYE7	PCGF6	PCGF6
P20594	NPR2	NPR2
P0DMR1	HNRNPCL4	HNRNPCL4
Q9H0C1	ZMYND12	ZMYND12
Q8N5A5	ZGPAT	ZGPAT
P0DMR2	SCGB1C2	SCGB1C2
P34995	PTGER1	PTGER1
Q9NQE7	PRSS16	PRSS16
P19174	PLCG1	PLCG1
P10070	GLI2	GLI2
O60383	GDF9	GDF9
O60384	ZNF861P	ZNF861P
Q9H0C2	SLC25A31	SLC25A31
P10071	GLI3	GLI3
Q9H8S5	CNTD2	CNTD2
Q9BYE9	CDHR2	CDHR2
P0DMR3	ATXN8OS	ATXN8OS
O76027	ANXA9	ANXA9
P10072	ZNF875	ZNF875
Q9H0C3	TMEM117	TMEM117
Q9NQE9	HINT3	HINT3
P10073	ZSCAN22	ZSCAN22
Q3LI60	KRTAP20-3	KRTAP20-3
P34998	CRHR1	CRHR1
P10074	ZBTB48	ZBTB48
Q3LI61	KRTAP20-2	KRTAP20-2
Q9H0C5	BTBD1	BTBD1
Q9H8S9	MOB1A	MOB1A
Q3LI62	KRTAP20-4	KRTAP20-4
P10075	GLI4	GLI4
O95727	CRTAM	CRTAM
Q3LI63	KRTAP20-1	KRTAP20-1
Q5JXX5	GLRA4	GLRA4
Q5HY64	FAM47C	FAM47C
C9JJH3	USP17L10	USP17L10
Q8N3Z0	PRSS35	PRSS35
Q53GL0	PLEKHO1	PLEKHO1
Q3LI64	KRTAP6-1	KRTAP6-1
Q9H0C8	ILKAP	ILKAP
P59817	ZNF280A	ZNF280A
Q5JXX7	TMEM31	TMEM31
Q5SQH8	C6orf136	C6orf136
Q06481	APLP2	APLP2
A6NND4	OR2AT4	OR2AT4
Q13021	MALL	MALL
Q3LI66	KRTAP6-2	KRTAP6-2
Q3LI67	KRTAP6-3	KRTAP6-3
Q8N3Z3	GTPBP8	GTPBP8
Q14802	FXYD3	FXYD3
Q5JPH6	EARS2	EARS2
Q3LI68	KRTAP22-2	KRTAP22-2
Q00403	GTF2B	GTF2B
Q13023	AKAP6	AKAP6
Q6DKJ4	NXN	NXN
P28360	MSX1	MSX1
Q8N3Z6	ZCCHC7	ZCCHC7
Q53GL7	PARP10	PARP10
Q14807	KIF22	KIF22
P01344	IGF2	IGF2
Q13029	PRDM2	PRDM2
P40200	CD96	CD96
P51580	TPMT	TPMT
Q9NVA1	UQCC1	UQCC1
P51582	P2RY4	P2RY4
P40205	MYCNOS	MYCNOS
Q96MW1	CCDC43	CCDC43
Q9NVA2	SEPTIN11	SEPTIN11
Q9BV10	ALG12	ALG12
Q8NBM4	UBAC2	UBAC2
Q5QNW6	HIST2H2BF	HIST2H2BF
P05230	FGF1	FGF1
Q5FVE4	ACSBG2	ACSBG2
Q15672	TWIST1	TWIST1
Q9NVA4	TMEM184C	TMEM184C
P05231	IL6	IL6
Q96EG1	ARSG	ARSG
A0A597	TRBV5-5	TRBV5-5
Q96MW5	COG8	COG8
Q96EG3	ZNF837	ZNF837
Q7Z736	PLEKHH3	PLEKHH3
P51587	BRCA2	BRCA2
A0A599	TRBV5-6	TRBV5-6
Q96MW7	TIGD1	TIGD1
P19634	SLC9A1	SLC9A1
Q8NBM8	PCYOX1L	PCYOX1L
P51589	CYP2J2	CYP2J2
Q7Z739	YTHDF3	YTHDF3
Q15678	PTPN14	PTPN14
Q99470	SDF2	SDF2
Q9BV19	C1orf50	C1orf50
Q7Z5L0	VMO1	VMO1
Q99471	PFDN5	PFDN5
Q7Z5L2	R3HCC1L	R3HCC1L
Q7Z5L3	C1QL2	C1QL2
Q7Z5L4	SPATA19	SPATA19
Q8N8V2	GBP7	GBP7
Q8IY63	AMOTL1	AMOTL1
A6NK02	TRIM75P	TRIM75P
Q9NTZ6	RBM12	RBM12
P42857	NSG1	NSG1
Q8N8V4	ANKS4B	ANKS4B
O60858	TRIM13	TRIM13
Q06945	SOX4	SOX4
Q7Z5L7	PODN	PODN
P42858	HTT	HTT
Q9HD20	ATP13A1	ATP13A1
Q8IY67	RAVER1	RAVER1
Q86WH2	RASSF3	RASSF3
Q5KU26	COLEC12	COLEC12
O95271	TNKS	TNKS
Q7Z5L9	IRF2BP2	IRF2BP2
A6NK06	ACOD1	ACOD1
Q8N8V8	TMEM105	TMEM105
Q9HD23	MRS2	MRS2
B1ANY3	FAM220BP	FAM220BP
Q8NI08	NCOA7	NCOA7
O15360	FANCA	FANCA
O95273	CCNDBP1	CCNDBP1
O95274	LYPD3	LYPD3
Q9HD26	GOPC	GOPC
P28827	PTPRM	PTPRM
Q8NGI0	OR52N2	OR52N2
Q10469	MGAT2	MGAT2
Q96RS0	TGS1	TGS1
Q8NGI1	OR56B2P	OR56B2P
Q8NGI2	OR52N4	OR52N4
O95279	KCNK5	KCNK5
A0A0U1RR11	CENPVL1	CENPVL1
Q6UWS5	PET117	PET117
Q8NGI3	OR56B1	OR56B1
Q9UJY1	HSPB8	HSPB8
Q8NGI4	OR4D11	OR4D11
A8MXY4	ZNF99	ZNF99
Q96JC1	VPS39	VPS39
Q7L2K0	TEDC2	TEDC2
Q8NGI6	OR4D10	OR4D10
Q9Y2U2	KCNK7	KCNK7
Q9UJY4	GGA2	GGA2
Q14353	GAMT	GAMT
Q9UBI1	COMMD3	COMMD3
Q8NGI7	OR10V1	OR10V1
Q96RS6	NUDCD1	NUDCD1
Q9UJY5	GGA1	GGA1
Q9P1U0	ZNRD1	ZNRD1
Q96JC4	ZNF479	ZNF479
Q8NGI8	OR5AN1	OR5AN1
P02671	FGA	FGA
P23610	F8A1	F8A1|F8A2|F8A3
P15291	B4GALT1	B4GALT1
Q9UBI4	STOML1	STOML1
Q8NGI9	OR5A2	OR5A2
Q9Y2U5	MAP3K2	MAP3K2
P29692	EEF1D	EEF1D
Q9P1U1	ACTR3B	ACTR3B
Q96B33	CLDN23	CLDN23
Q9UBI6	GNG12	GNG12
Q9Y2U8	LEMD3	LEMD3
P02675	FGB	FGB
Q3YBR2	TBRG1	TBRG1
Q9Y2U9	KLHDC2	KLHDC2
Q96JC9	EAF1	EAF1
Q96B36	AKT1S1	AKT1S1
Q9HBK9	AS3MT	AS3MT
A0A087WTH1	TMEM265	TMEM265
Q99932	SPAG8	SPAG8
Q9UBI9	HECA	HECA
Q5VZP5	DUSP27	DUSP27
Q99933	BAG1	BAG1
P02679	FGG	FGG
Q9BYF1	ACE2	ACE2
Q99935	OPRPN	OPRPN
Q6ZN01	MAMSTR	MAMSTR
Q538Z0	LUZP6	LUZP6
Q9NYV4	CDK12	CDK12
Q8WUT4	LRRN4	LRRN4
A0A087WTH5	KCNE1B	KCNE1B
O76031	CLPX	CLPX
Q9BQ61	TRIR	TRIR
Q9NQF3	SERHL	SERHL
Q9NYV6	RRN3	RRN3
A1L443	NUTM2F	NUTM2F
Q6ZN03	LINC00322	LINC00322
Q9H8T0	AKTIP	AKTIP
Q9NYV7	TAS2R16	TAS2R16
Q6ZN04	MEX3B	MEX3B
Q68DX3	FRMPD2	FRMPD2
Q9NYV8	TAS2R14	TAS2R14
O60391	GRIN3B	GRIN3B
Q6ZN06	ZNF813	ZNF813
Q9NYV9	TAS2R13	TAS2R13
Q9BQ65	USB1	USB1
Q8WUT9	SLC25A43	SLC25A43
O60393	NOBOX	NOBOX
O76036	NCR1	NCR1
Q71H61	ILDR2	ILDR2
Q5SQI0	ATAT1	ATAT1
Q6ZN08	ZNF66	ZNF66
Q9H0D2	ZNF541	ZNF541
P86478	PRR20E	PRR20E
Q9BQ66	KRTAP4-12	KRTAP4-12
O76038	SCGN	SCGN
P10082	PYY	PYY
P86479	PRR20C	PRR20C
A0A1B0GVS7	MDFIC2	MDFIC2
Q9BQ67	GRWD1	GRWD1
Q8N5B7	CERS5	CERS5
Q643R3	LPCAT4	LPCAT4
Q3LI70	KRTAP19-6	KRTAP19-6
O76039	CDKL5	CDKL5
Q9BQ69	MACROD1	MACROD1
O60397	COX7A2P2	COX7A2P2
Q9H0D6	XRN2	XRN2
Q3LI72	KRTAP19-5	KRTAP19-5
P31025	LCN1	LCN1
Q3LI73	KRTAP19-4	KRTAP19-4
P0DMS8	ADORA3	ADORA3
P0DMS9	TMIGD3	TMIGD3
P59826	BPIFB3	BPIFB3
Q5JPI3	C3orf38	C3orf38
P59827	BPIFB4	BPIFB4
Q6Q4G3	LVRN	LVRN
Q3LI76	KRTAP15-1	KRTAP15-1
Q6DKK2	TTC19	TTC19
Q6GTS8	PM20D1	PM20D1
Q3LI77	KRTAP13-4	KRTAP13-4
Q13033	STRN3	STRN3
Q6ZTY9	C7orf65	C7orf65
P28370	SMARCA1	SMARCA1
Q06495	SLC34A1	SLC34A1
Q14814	MEF2D	MEF2D
P01350	GAST	GAST
Q5JPI9	EEF1AKMT2	EEF1AKMT2
A6NNE9	MARCH11	MARCH11
Q8ND56	LSM14A	LSM14A
Q96MX0	CMTM3	CMTM3
Q6RSH7	VHLL	VHLL
Q8NBN3	TMEM87A	TMEM87A
Q9BV20	MRI1	MRI1
A6NDN3	GOLGA6B	GOLGA6B
Q96MX3	ZNF48	ZNF48
P54619	PRKAG1	PRKAG1
Q7Z745	MROH2B	MROH2B
Q9BV23	ABHD6	ABHD6
Q96MX6	WDR92	WDR92
Q8NBN7	RDH13	RDH13
Q96EH3	MALSU1	MALSU1
Q86Y01	DTX1	DTX1
Q96EH5	RPL39L	RPL39L
P24941	CDK2	CDK2
Q96EH8	NEURL3	NEURL3
Q9BV29	CCDC32	CCDC32
O14503	BHLHE40	BHLHE40
O60861	GAS7	GAS7
Q86Y07	VRK2	VRK2
P58505	C21orf58	C21orf58
O14508	SOCS2	SOCS2
P09131	SLC10A3	SLC10A3
Q7Z5M5	TMC3	TMC3
P09132	SRP19	SRP19
Q9ULA0	DNPEP	DNPEP
Q9H3Y0	R3HDML	R3HDML
Q8N8W4	PNPLA1	PNPLA1
Q99487	PAFAH2	PAFAH2
Q86WI0	LHFPL1	LHFPL1
Q86WI1	PKHD1L1	PKHD1L1
Q10471	GALNT2	GALNT2
Q9BTK6	PAGR1	PAGR1
A8MZA4	GOLGA6L6	GOLGA6L6
Q10472	GALNT1	GALNT1
P0C091	FREM3	FREM3
O60869	EDF1	EDF1
Q99489	DDO	DDO
Q7Z5M8	ABHD12B	ABHD12B
Q86WI3	NLRC5	NLRC5
Q9HD33	MRPL47	MRPL47
Q8NI17	IL31RA	IL31RA
O15370	SOX12	SOX12
Q9HD34	LYRM4	LYRM4
P01814	IGHV2-70	IGHV2-70
Q9H3Y6	SRMS	SRMS
O15371	EIF3D	EIF3D
O15372	EIF3H	EIF3H
Q9HD36	BCL2L10	BCL2L10
Q9H3Y8	PPDPF	PPDPF
P01817	IGHV2-5	IGHV2-5
O15374	SLC16A4	SLC16A4
Q8NGJ0	OR5A1	OR5A1
P28838	LAP3	LAP3
Q6UWT2	ENHO	ENHO
O15375	SLC16A5	SLC16A5
Q8NGJ1	OR4D6	OR4D6
Q8NGJ2	OR52H1	OR52H1
A8MXZ1	FAM90A23P	FAM90A23P
Q96RT1	ERBIN	ERBIN
Q6UWT4	C5orf46	C5orf46
Q9UJZ1	STOML2	STOML2
Q8NGJ3	OR52E1	OR52E1
Q01740	FMO1	FMO1
Q9HBL0	TNS1	TNS1
Q8NGJ4	OR52E2	OR52E2
A8MXZ3	KRTAP9-1	KRTAP9-1
Q9Y2V0	C15orf41	C15orf41
Q8NGJ5	OR51L1	OR51L1
O15379	HDAC3	HDAC3
A6NIJ5	FAM90A20P	FAM90A20P
Q5KSL6	DGKK	DGKK
Q8NGJ6	OR51A4	OR51A4
Q9Y2V2	CARHSP1	CARHSP1
Q9Y2V3	RAX	RAX
Q8NGJ7	OR51A2	OR51A2
Q9UBJ2	ABCD2	ABCD2
Q8IWP9	CCDC28A	CCDC28A
Q96RT7	TUBGCP6	TUBGCP6
Q8NGJ8	OR51S1	OR51S1
Q96RT8	TUBGCP5	TUBGCP5
Q96B42	TMEM18	TMEM18
A6NIJ9	OR6C70	OR6C70
Q8NGJ9	OR51T1	OR51T1
Q9HBL6	LRTM1	LRTM1
Q96JD6	AKR1E2	AKR1E2
Q9HBL7	PLGRKT	PLGRKT
Q9Y2V7	COG6	COG6
Q9HBL8	NMRAL1	NMRAL1
Q96B45	BORCS7	BORCS7
Q9NYW0	TAS2R10	TAS2R10
P02686	MBP	MBP
Q99941	ATF6B	ATF6B
Q9NYW1	TAS2R9	TAS2R9
Q695T7	SLC6A19	SLC6A19
Q99942	RNF5	RNF5
Q5VZQ5	TEX36	TEX36
Q9NYW2	TAS2R8	TAS2R8
Q99943	AGPAT1	AGPAT1
Q9BYG0	B3GNT5	B3GNT5
Q96B49	TOMM6	TOMM6
Q9NYW3	TAS2R7	TAS2R7
Q9P1V8	SAMD15	SAMD15
P86480	PRR20D	PRR20D
P02689	PMP2	PMP2
Q99944	EGFL8	EGFL8
Q5TBE3	C9orf153	C9orf153
Q6ZN11	ZNF793	ZNF793
Q9NYW4	TAS2R5	TAS2R5
P86481	PRR20B	PRR20B
Q5JR12	PPM1J	PPM1J
Q9NQG1	MANBAL	MANBAL
Q68DY1	ZNF626	ZNF626
Q8WUU4	ZNF296	ZNF296
Q9BQ70	TCF25	TCF25
Q9NYW5	TAS2R4	TAS2R4
Q99946	PRRT1	PRRT1
